id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365,number_of_reviews_ltm,license
705660262559003663,Luxurious one bedroom with off-street parking,353498132,Michael,,SECOND WARD,42.64577,-73.7583,Entire home/apt,109,13,8,2025-05-02,0.27,6,307,4,
717373135846408345,Centrally located 2 bed w/ off street parking,232967878,Diana,,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,137,1,65,2025-05-18,2.04,22,29,30,
723956857052424266,"Modern home, King Bed 4 bed 2bath, Crib, parking",10279606,Noriyuki,,NINTH WARD,42.65691,-73.78389,Entire home/apt,151,1,232,2025-05-26,7.44,3,312,80,
724566770267420045,Cozy Greenwood Flat (1 BDR Apartment in Albany),360287870,Mela,,SIXTH WARD,42.6513719,-73.7673156,Entire home/apt,101,2,64,2025-05-28,2.97,1,310,31,
733964865705013296,Historic 1 bed/ 1 bath,502037254,Andrew,,SIXTH WARD,42.65035,-73.76549,Entire home/apt,68,14,1,2023-03-26,0.04,3,295,0,
735879623743921266,Modern & Homey 1BD/1BA Fl 1 Apt @ Downtown Albany,44434571,Earl,,THIRD WARD,42.64564,-73.75261,Entire home/apt,80,1,79,2025-06-02,2.49,9,327,29,
737574278276037589,4 bed all on one floor,232967878,Diana,,TENTH WARD,42.66069,-73.78555,Entire home/apt,157,1,46,2025-03-02,1.47,22,8,8,
739722503092755616,Adirondack Suite #1,98744672,Bela,,NINTH WARD,42.6543178,-73.7818222,Private room,60,2,38,2025-05-25,1.19,8,346,14,
743600140734706394,Cozy apartment 2min walk to Albanymed office space,484673863,Michaela,,NINTH WARD,42.65569,-73.77685,Entire home/apt,90,2,17,2025-05-23,0.57,3,329,11,
744430701454304507,"1 Bedroom on Lincoln Park, near Lark and Downtown",65414985,James,,SEVENTH WARD,42.6496,-73.76792,Entire home/apt,77,2,32,2025-05-31,1.22,2,341,19,
750748704706045644,Clean Escape- Centrally located- Self Check-In,255839958,Kira,,SEVENTH WARD,42.64284,-73.77997,Entire home/apt,107,1,17,2024-08-06,0.55,1,251,1,
751421033442627559,Modern- Cozy Center City 2 Bedroom Apartment Style,486073806,Keneisha,,FIFTH WARD,42.66648,-73.76831,Entire home/apt,115,2,27,2025-02-16,0.96,1,351,8,
752118894541630543,Cozy luxury brownstone w/ parking & yard,258664571,Vorakij,,SECOND WARD,42.64439384900326,-73.75975701534425,Entire home/apt,156,2,84,2025-05-10,3.02,2,332,31,
752337379205662422,Penthouse Brownstone w/ luxury amenities,258664571,Vorakij,,SECOND WARD,42.6444412,-73.75971410000001,Entire home/apt,97,2,88,2025-05-18,3.36,2,351,45,
756752556396798800,Private Room in the Center of the Albany,69729286,Musab,,SIXTH WARD,42.65259,-73.76732,Private room,47,5,17,2025-02-27,0.57,2,231,2,
757342235277207834,Elegant Studio in Center Square,188679144,Elizabeth,,SIXTH WARD,42.65534,-73.76461,Entire home/apt,65,7,14,2025-03-31,0.45,8,158,2,
757978037279611051,Charming location near universities & hospital,232967878,Diana,,THIRTEENTH WARD,42.67261,-73.79262,Entire home/apt,140,2,51,2025-05-25,1.83,22,16,20,
761141715827746314,"Great place in the heart of Albany, with Parking",37769478,Erion,,SIXTH WARD,42.65405,-73.76953,Entire home/apt,98,1,45,2025-05-03,1.49,11,262,12,
764508866835218670,Rest+Restore Room • Short & Extended Stay •,6203319,Melissa,,TENTH WARD,42.66117,-73.79091,Private room,77,1,31,2025-01-16,1.01,2,54,20,
770934454668024322,Albany 2 Bedroom House,48328222,John,,FOURTEENTH WARD,42.6631926,-73.8153245,Entire home/apt,,1,12,2025-05-18,1.49,1,0,12,
774701102203414342,Entire cozy unit in Albany,261036923,Hasan,,FOURTEENTH WARD,42.6601,-73.80719,Entire home/apt,63,1,62,2025-05-21,2.09,1,250,17,
784781397995494758,Private bedroom and private bath w/separate entry,491907850,Donna,,FOURTEENTH WARD,42.66298,-73.81361,Private room,46,1,18,2025-06-06,0.64,1,64,5,
786181179052991690,Center Square Gem: Junior 1 Bedroom,188679144,Elizabeth,,THIRD WARD,42.65653,-73.76223,Entire home/apt,97,1,3,2024-01-27,0.13,8,361,0,
786196811078165173,Mansion in Albany 7minutes to Downtown Albany,444163492,Drasana,,FOURTH WARD,42.67996,-73.75352,Entire home/apt,,30,13,2024-02-25,0.46,1,0,0,
786228331433922432,Glamorous 1BR Retreat in Center Square,188679144,Elizabeth,,SIXTH WARD,42.65322,-73.76249,Entire home/apt,128,7,4,2024-11-09,0.19,8,356,1,
786316043239579100,Elegant newly renovated cozy smart apartment,253824490,Tomar,,FIFTH WARD,42.6591503133547,-73.75431932508945,Entire home/apt,86,2,36,2024-09-09,1.26,1,253,3,
787023821243442039,*The Allen House* Gorgeous Apartment - Sleeps 8,349460842,Scott,,FOURTEENTH WARD,42.6653,-73.7943,Entire home/apt,227,1,110,2025-05-25,3.96,17,341,46,
788301415655396660,Spacious 2 bed w/parking,232967878,Diana,,SECOND WARD,42.64409,-73.75709,Entire home/apt,128,1,67,2025-05-17,2.26,22,0,20,
794723189688979530,Newly Renovated| Washer&Dryer|5G Wifi,20144241,Carla,,FIFTH WARD,42.67283,-73.77367,Entire home/apt,91,3,14,2025-04-27,0.56,1,297,7,
795541666227926706,Mads Mansion -Victorian Mansion on Washington Park,493882819,Terra,,NINTH WARD,42.656329,-73.7752048,Entire home/apt,821,1,5,2024-08-18,0.22,6,144,3,
